"date","high","low","open","close","volume","quoteVolume","weightedAverage"
"1439006400","50","0.0045001","50","0.004555","329.6493784","54434.7809242","0.00605585"
"1439020800","0","0.004225","0","0.00535","304.9831979","62325.49491908","0.00489339"
"1439035200","0","0.00432389","0","0.00462143","145.25129723","30462.6899074","0.00476817"
"1439049600","0","0.00262","0","0.00306999","272.40018875","74319.5059742","0.00366525"
"1439064000","0","0.0029","0","0.00312499","153.51925855","44663.60867215","0.00343723"
"1439078400","0","0.0024","0","0.00294","126.87069746","47119.90495469","0.0026925"
"1439092800","0","0.00261045","0","0.00314897","152.3322681","47505.03212954","0.00320665"
"1439107200","0","0.00268","0","0.00268","135.20354439","46590.24001448","0.00290197"
"1439121600","0","0.00262591","0","0.00291999","64.14394691","23742.41187503","0.00270166"
"1439136000","0","0.00257997","0","0.00281032","224.99840515","79685.56952349","0.00282357"
"1439150400","0","0.0025","0","0.00258069","194.57457198","69344.71636366","0.0028059"
"1439164800","0","0.0022","0","0.00259","129.70668758","54062.52444367","0.00239919"
"1439179200","0","0.00225987","0","0.002351","133.16940526","54603.91958729","0.00243882"
"1439193600","0","0.00231002","0","0.00253999","79.74773662","32330.80127108","0.00246661"
"1439208000","0","0.00244699","0","0.00255","90.52252089","35884.31444435","0.00252262"
"1439222400","0","0.00250001","0","0.00259999","180.19006214","67731.66150348","0.00266035"
"1439236800","0","0.0025044","0","0.00264498","105.02885318","39962.18505886","0.0026282"
"1439251200","0","0.00248901","0","0.00267997","232.3428525","89743.18945522","0.00258897"
"1439265600","0","0.002414","0","0.00255","236.94051897","92641.18033928","0.00255761"
"1439280000","0","0.00251","0","0.00258991","149.15225065","57797.89358136","0.00258058"
"1439294400","0","0.00258002","0","0.00298998","277.86794567","98117.9109063","0.00283197"
"1439308800","0","0.00295501","0","0.00385998","975.10083315","287062.98336055","0.00339681"
"1439323200","0","0.00344111","0","0.00395009","1135.86970997","289775.33826603","0.00391982"
"1439337600","0","0.00290994","0","0.00329899","752.67694105","212004.65200617","0.00355028"
"1439352000","0","0.00305005","0","0.00362199","270.43654943","75231.93344967","0.0035947"
"1439366400","0","0.00352083","0","0.00450002","667.30870818","163699.15994559","0.00407643"
"1439380800","0","0.00399","0","0.00447499","1381.6417632","314094.95568934","0.0043988"
